观看人数,点赞数,反对数,点赞比
"273,873","6,738",203,97.07534937
"160,578","5,505",166,97.07282666
"401,365","13,410",405,97.06840391
"691,642","10,329",312,97.06794474
"121,885","3,751",114,97.05045278
"113,784","2,390",73,97.03613479
"715,705","21,935",673,97.02317764
"453,254","8,558",265,96.99648646
"181,973","5,291",164,96.99358387
"84,291","1,712",54,96.94224236
"157,667","4,838",153,96.93448207
"541,771","10,269",327,96.91392978
"263,204","8,483",271,96.90427233
"72,832","2,543",82,96.87619048
"234,915","7,015",228,96.85213309
"227,653","5,601",184,96.81936041
"263,748","5,778",193,96.7677106
"282,049","10,996",374,96.71064204
"445,501","8,842",305,96.66557341
"2,743,795","69,308","2,395",96.65983292
"163,083","3,195",112,96.61324463
"327,554","8,141",287,96.59468439
"182,314","2,492",88,96.58914729
"55,101","1,444",51,96.58862876
"484,056","8,927",328,96.45596975
"191,896","4,337",160,96.44207249
"359,366","6,815",252,96.43413047
"153,697","5,147",191,96.42188085
"117,903","2,373",89,96.3850528
"118,534","3,122",121,96.26888683
"429,597","11,949",467,96.23872423
"951,068","10,412",413,96.18475751
"101,817","2,438",97,96.17357002
"81,772","1,775",71,96.15384615
"208,155","6,784",283,95.99547191
"517,663","17,797",743,95.99244876
"404,816","8,931",377,95.94972067
"647,854","15,176",645,95.92314013
"114,680","2,645",114,95.86806814
"160,146","1,953",85,95.82924436
"256,818","6,804",299,95.79051105
"653,457","17,465",774,95.75634629
"263,316","4,212",187,95.74903387
"226,168","11,070",495,95.71984436
"896,090","21,943",984,95.70811707
"1,043,506","20,461","1,007",95.30929756
"171,745","5,240",260,95.27272727
"144,470","3,942",204,95.07959479
"300,063","4,970",261,95.01051424
"109,396","2,657",175,93.82062147
"127,545","3,978",278,93.46804511
"165,141","2,722",220,92.52209381
"236,699","5,234",517,91.01025909
"110,463","2,146",230,90.31986532
"413,020","10,727","1,254",89.53342793
"154,418","4,522",556,89.0508074
"101,548","2,192",282,88.60145513
"253,765","7,326","1,122",86.71875
"140,187","2,840",509,84.80143326
"128,005","3,351",666,83.42046303
"91,115","2,217",600,78.70074547
"56,352","1,451","1,043",58.17963111
"151,558","3,650","4,866",42.86049789
"151,643","3,925","7,031",35.82511866
